tool,command,description,category,use_case,flags,os,reference_link,supported_languages
nmap,nmap -sV -p 1-65535 192.168.1.1,Scan all TCP ports and detect service versions on a target host.,Networking,Port scanning and service detection,"[""-sV"",""-p""]",Linux,https://nmap.org/book/man-briefoptions.html,
nmap,nmap -sS -O 192.168.1.1,Perform a stealth SYN scan and OS detection.,Networking,Stealth scanning and OS fingerprinting,"[""-sS"",""-O""]",Linux,https://nmap.org/book/man-briefoptions.html,
metasploit,msfconsole -q -x 'use exploit/multi/handler; set PAYLOAD windows/meterpreter/reverse_tcp; set LHOST 192.168.1.100; run',Set up a reverse TCP handler for incoming connections.,Exploitation,Exploit handling and payload delivery,"[""-q"",""-x""]",Linux,https://docs.metasploit.com/,
sqlmap,sqlmap -u http://example.com --dbs,Enumerate databases on a vulnerable web application.,Web Application,SQL injection testing,"[""-u"",""--dbs""]",Linux,http://sqlmap.org/,
hydra,hydra -l admin -P passwords.txt ftp://192.168.1.1,Brute-force FTP credentials using a password list.,Password Cracking,Credential brute-forcing,"[""-l"",""-P""]",Linux,https://www.kali.org/tools/hydra/,
aircrack-ng,aircrack-ng -w wordlist.txt capture.cap,Crack WEP/WPA keys from captured packets.,Wireless,Wireless network key cracking,"[""-w""]",Linux,https://www.aircrack-ng.org/,
burpsuite,java -jar burpsuite.jar,Launch Burp Suite for web vulnerability testing.,Web Application,Web application security testing,[],Linux,https://portswigger.net/burp/documentation,
wireshark,wireshark -i eth0 -f 'tcp port 80',Capture and analyze TCP traffic on port 80.,Networking,Network traffic analysis,"[""-i"",""-f""]",Linux,https://www.wireshark.org/docs/,
john,john --wordlist=rockyou.txt hash.txt,Crack password hashes using a wordlist.,Password Cracking,Password hash cracking,"[""--wordlist""]",Linux,https://www.openwall.com/john/,
hashcat,hashcat -m 0 -a 0 hash.txt wordlist.txt,Crack MD5 hashes using a wordlist.,Password Cracking,High-performance hash cracking,"[""-m"",""-a""]",Linux,https://hashcat.net/hashcat/,
nikto,nikto -h http://example.com,Scan web server for vulnerabilities and misconfigurations.,Web Application,Web server vulnerability scanning,"[""-h""]",Linux,https://cirt.net/Nikto2,
