id,vulnerability_name,category,severity,cvss_score,attack_vector,complexity,privileges_required,user_interaction,scope,confidentiality_impact,integrity_impact,availability_impact,description,remediation,affected_systems,discovery_method,exploit_available,mitigation_difficulty,business_impact
1,SQL Injection,Injection,Critical,9.8,Network,Low,None,None,Changed,High,High,High,"Improper neutralization of special elements used in SQL commands allows attackers to execute arbitrary SQL queries","Use parameterized queries and input validation","Web Applications,Databases",Manual Testing,Yes,Medium,High
2,Cross-Site Scripting (XSS),Injection,High,6.1,Network,Low,None,Required,Changed,Low,Low,None,"Improper neutralization of input allows injection of malicious scripts into web pages","Input validation and output encoding","Web Applications",Automated Scanning,Yes,Low,Medium
3,Cross-Site Request Forgery (CSRF),Broken Authentication,Medium,6.5,Network,Low,None,Required,Unchanged,High,High,None,"Web application does not verify that requests are intentionally provided by the user","Implement CSRF tokens and SameSite cookies","Web Applications",Manual Testing,Yes,Medium,Medium
4,Insecure Direct Object Reference (IDOR),Broken Access Control,High,8.1,Network,Low,Low,None,Unchanged,High,None,None,"Application provides direct access to objects based on user-supplied input","Implement proper access controls and authorization checks","Web Applications,APIs",Manual Testing,Yes,Low,High
5,XML External Entity (XXE),Security Misconfiguration,High,7.5,Network,Low,None,None,Unchanged,High,None,High,"XML processor evaluates external entity references within XML documents","Disable external entity processing and use less complex data formats","Web Applications,XML Parsers",Manual Testing,Yes,Medium,Medium
6,Server-Side Request Forgery (SSRF),Security Misconfiguration,High,8.6,Network,Low,None,None,Changed,High,Low,Low,"Server-side application can be induced to make requests to unintended locations","Validate and sanitize all user-supplied URLs and implement network segmentation","Web Applications,Cloud Services",Manual Testing,Yes,High,High
7,Broken Authentication,Broken Authentication,Critical,9.3,Network,Low,None,None,Changed,High,High,High,"Authentication mechanisms are implemented incorrectly allowing attackers to compromise passwords or session tokens","Implement multi-factor authentication and secure session management","Web Applications,APIs",Automated Scanning,Yes,Medium,Critical
8,Sensitive Data Exposure,Sensitive Data Exposure,High,7.5,Network,Low,None,None,Unchanged,High,None,None,"Applications do not adequately protect sensitive data such as financial and healthcare information","Encrypt sensitive data at rest and in transit","Web Applications,Databases,APIs",Manual Testing,No,Low,High
9,Security Misconfiguration,Security Misconfiguration,Medium,5.3,Network,Low,High,None,Unchanged,Low,Low,Low,"Applications and frameworks come with default configurations that are often insecure","Review and harden all security configurations regularly","All Systems",Automated Scanning,No,Low,Medium
10,Using Components with Known Vulnerabilities,Using Components with Known Vulnerabilities,High,8.2,Network,Low,None,None,Unchanged,High,High,High,"Applications frequently use components with known vulnerabilities","Maintain an inventory of components and regularly update them","All Systems",Automated Scanning,Yes,Low,High
